ROLL NO.,GENDER ,SOFTWARE ENGINEER,TOC,COMPUTER NETWORK ,MACHINE LEARNING ,DATA WAREHOUSE ,GRADE ,RESULT 
240104010001,M,30.0,30.0,30.0,30.0,30.0,C,PASS
240104010002,F,30.0,40.0,45.0,40.0,35.0,B,Pass
240104010003,M,38.0,38.0,38.0,38.0,38.0,B,Pass
240104010004,M,59.0,55.0,57.0,58.0,54.0,A,pass
240104010005,M,30.0,30.0,30.0,30.0,30.0,C,Pass
240104010006,M,40.0,40.0,30.0,40.0,40.0,C,Pass
240104010007,F,30.0,30.0,30.0,30.0,30.0,P,pass
240104010008,M,30.0,40.0,30.0,40.0,40.0,B,pass
240104010001,M,30.0,40.0,25.0,40.0,20.0,P,Pass
240104010001,M,25.0,25.0,25.0,25.0,25.0,P,Pass
240104010001,M,35.0,35.0,35.0,35.0,35.0,C,Pass
240104010001,M,,,,,,,
2401040100012,F,40.0,45.0,45.0,35.0,35.0,B,Pass
240104010013,F,,,,,,,
240104010014,F,59.0,59.0,59.0,60.0,60.0,O,Pass
240104010015,MALE,45.0,47.0,50.0,40.0,55.0,A,pass
240104010001,M,56.0,41.0,48.0,29.0,45.0,B,PASS
2401040100016,female,35.0,40.0,35.0,39.0,36.0,B,Pass
240104010017,M,40.0,40.0,40.0,40.0,40.0,B,pass
240104010018,male,24.0,25.0,26.0,27.0,28.0,O,Fail
240104010019,Female ,57.0,58.0,57.0,56.0,59.0,O,Pass
240104010021,M,45.0,45.0,45.0,45.0,45.0,B,Pass
240104010022,Male,,,,,,,
240104010023,M,30.0,30.0,30.0,30.0,30.0,C,Pass
240104010024,Female,60.0,58.0,60.0,59.0,61.0,O,Pass
240104010025,M,,,,,,,
,,,,,,,,
240104010026,F,50.0,50.0,50.0,50.0,50.0,O,Pass
240104010027,M,45.0,40.0,42.0,43.0,42.0,B,pass
240104010028,M,60.0,60.0,60.0,60.0,60.0,O,pass
240104010029,Male ,20.0,30.0,4.0,27.0,29.0,F,Fail
240104010030,F,60.0,60.0,60.0,60.0,60.0,O,pass
,,,,,,,,
240104010032,Male ,33.0,63.0,56.0,99.0,48.0,B,Pass
240104010033,F,55.0,50.0,50.0,50.0,50.0,,pass 
240104010034,F,60.0,60.0,60.0,60.0,60.0,O,pass
240104010035,Male,50.0,55.0,60.0,60.0,35.0,A,Pass
240104010036,Male,45.0,46.0,47.0,48.0,49.0,A,pass
240104010037,Male,40.0,40.0,40.0,40.0,40.0,A,Pass
,,,,,,,,
240104010039,Female,55.0,58.0,60.0,59.0,55.0,O,Pass
240104010040,Female ,60.0,59.0,60.0,58.0,57.0,A+,PASS
240104010041,M,54.0,55.0,53.0,54.0,52.0,O,Pass
240104010042,Female ,54.0,55.0,56.0,57.0,58.0,A+,pass
240104010043,MALE,10.0,20.0,13.0,24.0,5.0,1,FAIL
240104010044,F,60.0,60.0,60.0,60.0,60.0,O,Pass
240104010045,M,60.0,60.0,60.0,60.0,60.0,O,Pass
240104010046,Mens,0.0,1.0,2.0,3.0,67.0,O,Fail
240104010047,M,30.0,30.0,30.0,30.0,30.0,B,Pass
240104010048,M,35.0,30.0,30.0,35.0,30.0,B,Pass
240104010049,F,35.0,35.0,35.0,35.0,35.0,B,Pass
240104010050,M,59.0,59.0,59.0,60.0,60.0,O,Pass
,,,,,,,,
,,,,,,,,
240104010053,M,40.0,40.0,40.0,40.0,40.0,A,Pass
240104010054,M,55.0,55.0,55.0,55.0,55.0,A+,PASS
240104010055,F,58.0,55.0,60.0,59.0,60.0,O,Pass
240104010056,FEMALE,64.0,99.0,87.0,93.0,97.0,O+,PASS
240104010057,Female,60.0,60.0,60.0,59.0,60.0,O,Pass
,,,,,,,,
240104010059,M,40.0,40.0,45.0,40.0,40.0,A,pass
,M,40.0,40.0,40.0,40.0,40.0,A,Pass
240104010061,M,-10.0,-20.0,-15.0,-60.0,-2.0,F,Discharge 
240104010062,Male,50.0,45.0,50.0,45.0,50.0,A,pass
240104010063,M,49.0,49.0,49.0,49.0,49.0,A,Pass
,,,,,,,,
,,,,,,,,
240104010066,Female ,55.0,56.0,57.0,58.0,59.0,A+,pass
240104010067,MaLe,30.0,30.0,30.0,30.0,30.0,c,pass
240104010068,Female ,38.0,46.0,43.0,39.0,39.0,A ,pass
240104010069,Male,35.0,35.0,35.0,35.0,35.0,B,Pass
240104010070,male,30.0,30.0,30.0,30.0,30.0,C,pass
,,,,,,,,
,,,,,,,,
240104010074,Male,55.0,55.0,55.0,55.0,55.0,A,Pass
240104010075,male,40.0,42.0,41.0,43.0,50.0,B,Pass
,,,,,,,,
,,,,,,,,
,,,,,,,,
2520104002,M,45.0,50.0,48.0,52.0,50.0,A,Pass
2520104003,female,40.0,30.0,25.0,26.0,28.0,P,Pass
2520104004,M,24.0,25.0,26.0,27.0,24.0,P,Pass
,,,,,,,,
2520104006,F,30.0,30.0,30.0,30.0,30.0,B,Pass
2520104007,F,45.0,40.0,50.0,48.0,46.0,A,pass
2520104008,F,35.0,30.0,40.0,45.0,48.0,B,Pass
